usd_cleaning_fee,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type
80,Apartment,Entire home/apt,strict,Real Bed,Hackney,85,NA,3,1,100,1,1,0.49,100,5,1,60,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,85,Hackney,strict,Entire home/apt,Apartment
5,House,Private room,moderate,Real Bed,Hackney,30,80,2,1.5,87,3,1,1.41,4,1,1,63,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,30,Hackney,moderate,Private room,House
NA,House,Private room,flexible,Real Bed,Hackney,40,0,2,1,NA,0,1,NA,0,3,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,40,Hackney,flexible,Private room,House
10,House,Private room,flexible,Real Bed,Hackney,34,100,1,2,91,12,1,0.38,0,7,1,942,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34,Hackney,flexible,Private room,House
NA,Apartment,Private room,strict,Real Bed,Hackney,45,NA,2,1.5,93,9,1,0.86,10,1,1,312,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,45,Hackney,strict,Private room,Apartment
NA,House,Private room,strict,Real Bed,Hackney,30,NA,2,3,80,1,1,0.15,0,3,1,196,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,30,Hackney,strict,Private room,House
40,Apartment,Private room,strict,Real Bed,Hackney,129,100,6,2,89,35,4,4.41,5,3,3,237,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,129,Hackney,strict,Private room,Apartment
18,Apartment,Entire home/apt,strict,Real Bed,Hackney,52,100,2,1,77,14,1,1.39,0,2,1,302,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,52,Hackney,strict,Entire home/apt,Apartment
NA,Apartment,Entire home/apt,strict,Real Bed,Hackney,155,100,3,1,80,1,1,0.48,0,2,2,61,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,155,Hackney,strict,Entire home/apt,Apartment
NA,House,Private room,moderate,Real Bed,Hackney,60,NA,2,1,NA,0,1,NA,0,7,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,60,Hackney,moderate,Private room,House
NA,Apartment,Entire home/apt,moderate,Real Bed,Hackney,50,NA,3,1,100,2,1,0.3,0,2,2,200,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,50,Hackney,moderate,Entire home/apt,Apartment
NA,House,Private room,moderate,Real Bed,Hackney,40,NA,2,2,NA,0,1,NA,0,1,1,NA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,40,Hackney,moderate,Private room,House
NA,Apartment,Private room,flexible,Real Bed,Hackney,27,NA,2,1,96,10,1,0.5,10,2,1,604,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,27,Hackney,flexible,Private room,Apartment
